上帝之城主演：亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺上映时间：2002-08-30(巴西)
辩护人主演：宋康昊,郭度沅,吴达洙上映时间：2013-12-18(韩国)
七武士主演：三船敏郎,志村乔,千秋实上映时间：1954-04-26(日本)
完美的世界主演：凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟上映时间：1993-11-24(美国)
一一主演：吴念真,金燕玲,李凯莉上映时间：2000-09-20(法国)
海洋主演：雅克·贝汉,姜文,兰斯洛特·贝汉上映时间：2011-08-12
爱·回家主演：俞承豪,金艺芬,童孝熙上映时间：2002-04-05(韩国)
黄金三镖客主演：克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫上映时间：1966-12-23(意大利)
我爱你主演：宋在浩,李顺才,尹秀晶上映时间：2011-02-17(韩国)
迁徙的鸟主演：雅克·贝汉,PhilippeLabro上映时间：2001-12-12(法国)
阿飞正传主演：张国荣,张曼玉,刘德华上映时间：2018-06-25
英雄本色主演：狄龙,张国荣,周润发上映时间：2017-11-17
